Image,Dimensions,Entropy,Sharpness,Focus,Edge Sharpness (Brenner Gradient),Gradient Magnitude,Histogram Spread,NIQE,FSIM,IFC,NQM,PSNR,SSIM
MIRNet_super_resolution.jpg,512x512,6.597413845506149,137.99857034668094,69.13290059085647,9288152,0.04797498329891091,1.3676381,Not supported by current PIQ version,0.8915093529272456,0.26498858543057263,54.111789293538806,26.18142215989768,0.736012645219157
single-scale_retinex.jpg,512x512,7.044951088982567,578.6290112151619,86.15576029874758,14311178,0.05981051870458306,1.1246295,Not supported by current PIQ version,0.8876070565950603,0.8463423740482172,53.07225649583762,11.013731660044249,0.7674299794231474
gamma_correction.jpg,512x512,6.433109446818519,241.0279576778412,55.534728178524425,9794444,0.038553394378676185,1.5022947,Not supported by current PIQ version,0.9971858688062407,0.9215623701593382,61.377951672593454,23.736574975922665,0.9696805830698682
deep_learning_enhancement.jpg,512x512,7.084723372908933,592.8053133316425,86.21961002243718,14693513,0.05985498706151766,1.043567,Not supported by current PIQ version,0.9415158947482052,1.0522537158654857,69.44826502781507,15.294504245472229,0.863160729198751
wavelet_denoising.jpg,512x512,6.496996484898649,247.1364470338449,57.238154356883776,10019608,0.03973497436444949,1.4625528,Not supported by current PIQ version,0.9999819563093382,0.9936882960243286,0.015811310493874787,66.1409574793328,0.9999300263553694
MIRNet_real_denoising.jpg,512x512,6.394827896443999,43.97272961004637,41.877518617473996,5426845,0.029064100437992183,1.5683769,Not supported by current PIQ version,0.9864819708199491,0.5606353017712,18.838071863862933,34.89354741520784,0.9304706362456259
clahe.jpg,512x512,7.541153505587637,1337.504640388288,132.22279323832743,18736922,0.09179251481397141,0.6710386,Not supported by current PIQ version,0.8030679330715739,0.986336832116343,53.492204896993336,17.14008721141899,0.7296745575575507
upscaled_image_diffusion.jpg,512x512,6.695927647309264,1069.3861834691925,84.31433102371649,16010048,0.058516728120456815,1.2942624,Not supported by current PIQ version,0.8916693809679291,0.17910564270293597,66.36698734123357,24.205728293979476,0.5344568433700959
Restormer_Motion_Deblurring.jpg,512x512,6.521042139510026,301.0372685621842,60.90781528902087,10811907,0.04228212076103252,1.4401423,Not supported by current PIQ version,0.9980923875406539,0.8899009972276292,2.4096748360525426,44.27986344256379,0.9938998045167933
Restormer_Deraining.jpg,512x512,6.487254309075313,242.77636049115972,56.777274753237755,9863415,0.03941349025562839,1.4691571,Not supported by current PIQ version,0.9997744969119479,0.9661816207388835,0.45483397264936515,51.52616409901537,0.998873773832125
multi-scale_retinex.jpg,512x512,7.033212471133474,609.9758947501978,88.28908599652405,14575909,0.06129228598024066,1.1303556,Not supported by current PIQ version,0.8841792384282264,0.8631724997462591,56.24728827346734,11.25137490860588,0.7688567006865764
Restormer_Real_Denoising.jpg,512x512,6.438966036003192,96.2771521769464,48.08738038205982,7286669,0.033380390723095045,1.5212389,Not supported by current PIQ version,0.9948628935397632,0.6841603767507481,8.728946369166856,38.59559484150678,0.9702674562137015
sobel_edge_enhance.jpg,512x512,4.385263509341129,101.68492103168683,20.677151855427354,3701062,0.014355981533471599,3.7318807,Not supported by current PIQ version,0.6362175621911652,0.03197082663760993,49.54939149308325,10.398549693949708,0.10035284015114325
N-33-139-C-d-2-4_276_real_512.jpg,512x512,6.4968545962484505,247.10937799554085,57.22567465433883,10011455,0.03972628027003713,1.462678,Not supported by current PIQ version,1.0,0.999999999987228,0.0,inf,1.0
MIRNet_lowlight_enhancement.jpg,512x512,7.0102871456553775,498.9363323515281,80.0948715096813,12822754,0.05564368101986319,1.1184083,Not supported by current PIQ version,0.925743896141839,0.8152594619640264,58.54521771092283,11.814249892848249,0.8043059865925082
MIRNet_contrast_enhancement.jpg,512x512,7.252656479168376,594.3473467688164,98.49010218066994,14658509,0.06837214547098311,1.0247422,Not supported by current PIQ version,0.8361188636861094,0.804067561061423,43.582293694130755,9.934539221254477,0.7224275129323929
linear_stretching.jpg,512x512,7.2197172600635655,753.7943839124491,94.73610025379026,15859505,0.06576924952857308,0.949687,Not supported by current PIQ version,0.9151417883732731,1.1028492512327077,59.40871049636168,19.096318128227153,0.8777011737537347
histogram_equalization.jpg,512x512,7.961061447816341,3072.382459436296,182.59503178022547,20335840,0.12676875408957397,0.20999028,Not supported by current PIQ version,0.6951546370956968,0.7918115368469136,34.29648760914769,11.686233170337976,0.530685245968696
median_filter.jpg,512x512,6.3255560071474255,67.05575335625326,42.56030240512509,5800454,0.029534546300734335,1.6001558,Not supported by current PIQ version,0.980678098182699,0.5673430586319869,33.00094741813593,32.14957630032578,0.9340582448312176
spectral_unmixing.jpg,512x512,7.306775428032652,830.6809152215719,100.71861233360144,16370899,0.06992187889095217,0.88912565,Not supported by current PIQ version,0.8925988805639736,1.1339167317815253,63.64184965631715,20.023541263729797,0.8560310427515845
Restormer_Single_Image_Defocus_Deblurring.jpg,512x512,6.6810789372473565,779.4199176641268,76.03361451191357,14586789,0.052766976210333466,1.3150733,Not supported by current PIQ version,0.9149609382961439,0.23511359745372454,63.320144029088134,24.290969200856118,0.6798901300993296
