Image,Original Dimensions,Resized Dimensions,Entropy,Sharpness,Focus,PSNR,SSIM
MIRNet_lowlight_enhancement.jpg,512x512,512x512,7.0102871456553775,498.9363323515281,80.0948715096813,27.329461630687213,0.8043059865925082
MIRNet_contrast_enhancement.jpg,512x512,512x512,7.252656479168376,594.3473467688164,98.49010218066994,27.553651650671803,0.7224275129323929
wavelet_denoising.jpg,512x512,512x512,6.496996484898649,247.1364470338449,57.238154356883776,66.1409574793328,0.9999300263553694
SwinIR.png,2048x2048,512x512,6.342798152659905,697.1523454390554,50.5597473823777,31.986576469595413,0.9122406620960747
multi-scale_retinex.jpg,512x512,512x512,7.033212471133474,609.9758947501978,88.28908599652405,27.464157755843274,0.7688567006865764
N-33-139-C-d-2-4_276_real_2048.png,2048x2048,512x512,6.481392784668576,176.02614689011534,55.17922694752916,39.391971731621,0.9807477831679631
Restormer_Single_Image_Defocus_Deblurring.jpg,512x512,512x512,6.6810789372473565,779.4199176641268,76.03361451191357,29.491135440290044,0.6798901300993296
linear_stretching.jpg,512x512,512x512,7.2197172600635655,753.7943839124491,94.73610025379026,28.272162857095754,0.8777011737537347
N-33-139-C-d-2-4_276_real_512.jpg,512x512,512x512,6.4968545962484505,247.10937799554085,57.22567465433883,inf,1.0
Restormer_Motion_Deblurring.jpg,512x512,512x512,6.521042139510026,301.0372685621842,60.90781528902087,44.27986344256379,0.9938998045167933
upscaled_image_diffusion.jpg,512x512,512x512,6.695927647309264,1069.3861834691925,84.31433102371649,29.625770742191804,0.5344568433700959
clahe.jpg,512x512,512x512,7.541153505587637,1337.504640388288,132.22279323832743,28.19661942384181,0.7296745575575507
gamma_correction.jpg,512x512,512x512,6.433109446818519,241.0279576778412,55.534728178524425,29.482005214712835,0.9696805830698682
esrgan_image.png,2048x2048,512x512,6.490311120772877,249.25571060004586,55.32412245424182,40.195725810716986,0.9950793869101744
MIRNet_super_resolution.jpg,512x512,512x512,6.597413845506149,137.99857034668094,69.13290059085647,30.508132088386436,0.736012645219157
Restormer_Deraining.jpg,512x512,512x512,6.487254309075313,242.77636049115972,56.777274753237755,51.52616409901537,0.998873773832125
deep_learning_enhancement.jpg,512x512,512x512,7.084723372908933,592.8053133316425,86.21961002243718,27.225838056622543,0.863160729198751
median_filter.jpg,512x512,512x512,6.3255560071474255,67.05575335625326,42.56030240512509,32.55703117074016,0.9340582448312176
single-scale_retinex.jpg,512x512,512x512,7.044951088982567,578.6290112151619,86.15576029874758,27.82238673432472,0.7674299794231474
MIRNet_real_denoising.jpg,512x512,512x512,6.394827896443999,43.97272961004637,41.877518617473996,35.21748918257358,0.9304706362456259
histogram_equalization.jpg,512x512,512x512,7.961061447816341,3072.382459436296,182.59503178022547,28.222747330631428,0.530685245968696
Restormer_Real_Denoising.jpg,512x512,512x512,6.438966036003192,96.2771521769464,48.08738038205982,38.63209358065574,0.9702674562137015
BSRGAN.png,2048x2048,512x512,6.414129190870595,407.3360552701488,51.14125306948444,36.54676177107585,0.9559968923627782
sobel_edge_enhance.jpg,512x512,512x512,4.385263509341129,101.68492103168683,20.677151855427354,27.375684143781456,0.10035284015114325
resrgan_image.jpg,2048x2048,512x512,6.378822989561527,670.295396640664,49.48662606859278,33.30784478359591,0.91167467654603
SwinIR_large.png,2048x2048,512x512,6.376239007602262,635.5730622035771,50.77990817583045,33.68088178869391,0.939023613653007
spectral_unmixing.jpg,512x512,512x512,7.306775428032652,830.6809152215719,100.71861233360144,28.024829566134407,0.8560310427515845
VDSR.jpg,2048x2048,512x512,6.484841750025351,179.49601407906448,55.469623027084154,38.46302562382568,0.9956376230525925
